Participant,NewsMeasure,Sample,Ratings_M,Ratings_Scored,SocialJetlag_ABS,SocialJetlag_ABS_Binned,Chronotype,SleepDurationAvg,SleepDurationAvg_Binned,SampleCoded,CRT,HL,Age,Edu,Gender,NewsType,NewsDomain,NewsTypeCoded,NewsDomainCoded,GenderCoded,Pct_Confidently_Correct,Pct_Unconfidently_Correct,Pct_Confidently_Incorrect,Pct_Unconfidently_Incorrect
413,Fake-Covid,Liberal,13.2,1,0,'0-1,32,10,'9-10,-0.5,2,6,29,5,Male,Fake,Covid,-0.5,-0.5,0.5,86.66666667,13.33333333,0,0
413,Fake-The Big Lie,Liberal,16.8,0.933333333,0,'0-1,32,10,'9-10,-0.5,2,6,29,5,Male,Fake,TBL,-0.5,0.5,0.5,80,13.33333333,6.666666667,0
413,Real-Covid,Liberal,62.2,0.6,0,'0-1,32,10,'9-10,-0.5,2,6,29,5,Male,Real,Covid,0.5,-0.5,0.5,40,20,13.33333333,26.66666667
413,Real-The Big Lie,Liberal,73.4,0.866666667,0,'0-1,32,10,'9-10,-0.5,2,6,29,5,Male,Real,TBL,0.5,0.5,0.5,80,6.666666667,13.33333333,0
414,Fake-Covid,Liberal,9.733333333,0.866666667,0,'0-1,33,10,'9-10,-0.5,1,6,36,5,NA,Fake,Covid,-0.5,-0.5,NA,66.66666667,20,6.666666667,6.666666667
414,Fake-The Big Lie,Liberal,4.333333333,0.933333333,0,'0-1,33,10,'9-10,-0.5,1,6,36,5,NA,Fake,TBL,-0.5,0.5,NA,93.33333333,0,6.666666667,0
414,Real-Covid,Liberal,58.13333333,0.533333333,0,'0-1,33,10,'9-10,-0.5,1,6,36,5,NA,Real,Covid,0.5,-0.5,NA,46.66666667,6.666666667,26.66666667,20
414,Real-The Big Lie,Liberal,67.6,0.733333333,0,'0-1,33,10,'9-10,-0.5,1,6,36,5,NA,Real,TBL,0.5,0.5,NA,73.33333333,0,6.666666667,20
415,Fake-Covid,Liberal,7.666666667,0.933333333,1,'1-2,33.88095238,9.76,'9-10,-0.5,2,6,27,4,Male,Fake,Covid,-0.5,-0.5,0.5,86.66666667,6.666666667,6.666666667,0
415,Fake-The Big Lie,Liberal,16.06666667,0.8,1,'1-2,33.88095238,9.76,'9-10,-0.5,2,6,27,4,Male,Fake,TBL,-0.5,0.5,0.5,73.33333333,6.666666667,13.33333333,6.666666667
